Y-legs,0.52277112,0.394472688,0.581891179,0.464502543,0.477254301,0.471089691,0.632641077,0.361484706,0.423262686,0.381680101,0.661999106,0.230795801,0.380308211,0.254845351
Y-legs,0.52260077,0.394698709,0.581796587,0.464594334,0.477106154,0.470898688,0.632828414,0.361581743,0.423211157,0.381404996,0.661674082,0.230684817,0.380416691,0.255313486
Y-legs,0.522341311,0.3944408,0.581815362,0.464327991,0.47720331,0.470651656,0.632288218,0.361783206,0.42288518,0.381597519,0.661428928,0.23116602,0.380348861,0.255321503
Y-legs,0.522497177,0.394648105,0.581820309,0.464787334,0.477190495,0.471082181,0.632015049,0.362821996,0.422947228,0.381889224,0.661533475,0.232093334,0.380436867,0.255339086
Y-legs,0.522343755,0.394588292,0.581897616,0.464165539,0.47727403,0.471166432,0.632069707,0.362318307,0.423509747,0.383870631,0.661321282,0.231047437,0.380865961,0.256576508
Y-legs,0.520659029,0.399139941,0.579332352,0.464423686,0.475610405,0.467309356,0.628595948,0.36698401,0.419951111,0.377271473,0.658180833,0.236007437,0.379107058,0.255671859
Y-legs,0.519927144,0.399093062,0.578829885,0.464063197,0.475807607,0.466838658,0.626819253,0.369099587,0.420182377,0.378531963,0.656320989,0.237764806,0.379054606,0.255764753
Y-legs,0.519638896,0.399099946,0.578484416,0.46431458,0.475529343,0.468607932,0.626049876,0.369406372,0.421046346,0.383050919,0.655946851,0.238029957,0.379219204,0.258970529
Y-legs,0.519363582,0.399019241,0.577712476,0.464651853,0.475140274,0.469006419,0.625724852,0.369753838,0.421365201,0.385092884,0.656570792,0.236831605,0.379388422,0.260790497
Y-legs,0.519029081,0.398892999,0.578261971,0.465205699,0.474285603,0.469673306,0.62572825,0.369163454,0.419655859,0.382933438,0.654738843,0.238367468,0.377709001,0.258390248
Y-legs,0.518605769,0.398612082,0.578048289,0.465620697,0.473879486,0.468873709,0.625265718,0.369849324,0.417900383,0.380094111,0.6545614,0.238262117,0.376707137,0.256664872
